GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder,82,604,17,121,17,144,17,73,0,21
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,DiffBuilder.new Diff() {...},0,21,0,0,0,4,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.builder,IDKey,6,31,3,3,2,9,3,3,0,3
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.SplitState,21,29,0,0,1,3,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State.new StopWatch.State() {...},0,12,0,0,0,5,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State.new StopWatch.State() {...},0,12,0,0,0,5,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State.new StopWatch.State() {...},0,12,0,0,0,5,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State.new StopWatch.State() {...},0,12,0,0,0,5,0,4,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FormatCache,22,177,3,17,5,39,3,16,0,9
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.ISO8601TimeZoneStrategy,0,63,0,6,0,18,0,9,0,5
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwentyFourHourField,24,10,2,0,7,4,3,2,2,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitYearField,0,23,0,0,0,8,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,19,0,2,0,7,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,8,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneDisplayKey,4,65,4,8,2,16,4,5,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,11,0,2,0,3,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.new FastDateParser.NumberStrategy() {...},0,11,0,2,0,3,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter,50,719,13,92,10,175,12,77,2,24
Apache Commons Lang,org.apache.commons.lang3.time,DurationFormatUtils.Token,13,108,1,15,2,28,3,14,2,7
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.UnpaddedNumberField,0,39,0,4,0,13,0,6,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FormatCache.MultipartKey,0,50,0,6,0,11,0,6,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateFormat.new FormatCache() {...},0,10,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.PaddedNumberField,4,56,1,5,1,14,1,6,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.StringLiteral,0,16,0,0,0,6,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwelveHourField,6,28,0,2,2,9,1,4,1,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateFormat,34,238,0,2,6,40,6,33,6,32
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneNameRule,0,60,0,2,0,13,0,4,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.CharacterLiteral,0,14,0,0,0,6,0,3,0,3
Apache Commons Lang,org.apache.commons.lang3.time,DateFormatUtils,6,149,0,0,1,38,1,17,1,17
Apache Commons Lang,org.apache.commons.lang3.time,DurationFormatUtils,22,846,10,113,10,211,10,68,0,13
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TimeZoneNumberRule,0,92,0,8,0,24,0,8,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TextField,0,43,0,4,0,12,0,5,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitNumberField,0,28,0,2,0,11,0,5,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser,17,752,7,80,5,163,9,69,2,22
Apache Commons Lang,org.apache.commons.lang3.time,DateUtils.ModifyType,21,39,0,0,1,7,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3.time,DateUtils,54,1365,21,193,12,302,23,148,4,55
Apache Commons Lang,org.apache.commons.lang3.time,DateUtils.DateIterator,0,44,0,2,0,11,0,5,0,4
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.CopyQuotedStrategy,0,31,0,2,0,9,0,4,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.Strategy,1,5,0,0,1,2,1,2,1,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.NumberStrategy,0,39,0,2,0,12,0,6,0,5
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch.State,21,49,0,0,1,5,2,2,2,2
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.TwoDigitMonthField,0,23,0,0,0,8,0,5,0,5
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.Iso8601_Rule,0,101,0,12,0,31,0,12,0,5
Apache Commons Lang,org.apache.commons.lang3.time,StopWatch,5,221,1,29,1,59,1,32,0,18
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.CaseInsensitiveTextStrategy,41,95,3,5,6,17,2,5,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDateParser.TimeZoneStrategy,12,199,1,23,1,36,1,14,0,3
Apache Commons Lang,org.apache.commons.lang3.time,FastDatePrinter.UnpaddedMonthField,3,31,1,1,1,10,1,5,0,5
Apache Commons Lang,org.apache.commons.lang3.text,StrLookup.MapStrLookup,0,23,0,4,0,9,0,4,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrSubstitutor,15,983,7,97,7,265,7,99,0,54
Apache Commons Lang,org.apache.commons.lang3.text,FormattableUtils,12,113,1,15,3,14,3,11,2,4
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.TrimMatcher,0,12,0,2,0,3,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.CharMatcher,0,16,0,2,0,4,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrBuilder.StrBuilderWriter,0,43,0,0,0,15,0,8,0,8
Apache Commons Lang,org.apache.commons.lang3.text,ExtendedMessageFormat,137,621,31,78,32,157,32,47,5,17
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher,0,135,0,12,0,35,0,22,0,16
Apache Commons Lang,org.apache.commons.lang3.text,StrTokenizer,51,920,2,90,19,232,8,103,6,59
Apache Commons Lang,org.apache.commons.lang3.text,StrBuilder,77,3480,22,506,18,748,24,389,2,147
Apache Commons Lang,org.apache.commons.lang3.text,CompositeFormat,0,34,0,0,0,9,0,6,0,6
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.CharSetMatcher,0,22,0,2,0,5,0,3,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrBuilder.StrBuilderReader,0,148,1,23,0,31,1,20,0,9
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.NoMatcher,0,5,0,0,0,3,0,2,0,2
Apache Commons Lang,org.apache.commons.lang3.text,WordUtils,0,439,0,78,0,117,0,52,0,13
Apache Commons Lang,org.apache.commons.lang3.text,StrMatcher.StringMatcher,0,40,0,6,0,10,0,5,0,2
Apache Commons Lang,org.apache.commons.lang3.text,StrLookup,3,57,1,3,1,18,1,7,0,6
Apache Commons Lang,org.apache.commons.lang3.text,StrBuilder.StrBuilderTokenizer,8,27,2,2,2,8,2,3,0,3
